nLocation = 5;
AreaWidth = 10;
Horizen = 1440;
MaxAirTime = 120;
ChargingTime = 5;
VehicleLocation =  [1 2 3 4 5 0 0 0 0 0];
InitialMissionCompleteTime =  [22 104 85 8 7];
     <"on" 4 5 3 5 356 472>
     <"charge" 4 500 3 5 474 479>
     <"on" 4 6 3 5 472 588>
     <"charge" 4 600 3 5 590 595>
     <"on" 4 7 3 5 588 704>
     <"charge" 4 700 3 5 706 711>
     <"on" 4 8 3 5 704 820>
     <"charge" 4 800 3 5 822 827>
     <"on" 4 9 3 5 820 936>
     <"charge" 4 900 3 5 938 943>
     <"on" 4 10 3 5 936 1052>
     <"charge" 4 1000 3 5 1054 1059>
     <"on" 4 11 3 5 1052 1168>
     <"charge" 4 1100 3 5 1170 1175>
     <"on" 4 12 3 5 1168 1284>
     <"charge" 4 1200 3 5 1286 1291>
     <"on" 4 13 3 5 1284 1400>
     <"charge" 4 1300 3 5 1402 1407>
     <"on" 4 14 3 5 1400 1440>
     <"on" 5 1 0 5 0 7>
     <"charge" 5 100 0 5 12 17>
     <"on" 5 2 0 5 7 117>
     <"charge" 5 200 0 5 122 127>
     <"on" 5 3 0 5 117 227>
     <"charge" 5 300 0 5 232 237>
     <"on" 5 4 0 5 227 337>
     <"charge" 5 400 0 5 342 347>
     <"on" 5 5 0 5 337 447>
     <"charge" 5 500 0 5 452 457>
     <"on" 5 6 0 5 447 557>
     <"charge" 5 600 0 5 562 567>
     <"on" 5 7 0 5 557 667>
     <"charge" 5 700 0 5 672 677>
     <"on" 5 8 0 5 667 777>
     <"charge" 5 800 0 5 782 787>
     <"on" 5 9 0 5 777 887>
     <"charge" 5 900 0 5 892 897>
     <"on" 5 10 0 5 887 997>
     <"charge" 5 1000 0 5 1002 1007>
     <"on" 5 11 0 5 997 1107>
     <"charge" 5 1100 0 5 1112 1117>
     <"on" 5 12 0 5 1107 1217>
     <"charge" 5 1200 0 5 1222 1227>
     <"on" 5 13 0 5 1217 1327>
     <"charge" 5 1300 0 5 1332 1337>
     <"on" 5 14 0 5 1327 1437>};
Travel =  {<0 0 0> <0 1 3> <0 2 1> <0 3 3> <0 4 2> <0 5 5> <1 0 3>
     <1 1 0> <1 2 1> <1 3 5> <1 4 2> <1 5 4> <2 0 1>
     <2 1 1> <2 2 0> <2 3 4> <2 4 1> <2 5 4> <3 0 3>
     <3 1 5> <3 2 4> <3 3 0> <3 4 3> <3 5 5> <4 0 2>
     <4 1 2> <4 2 1> <4 3 3> <4 4 0> <4 5 3> <5 0 5>
     <5 1 4> <5 2 4> <5 3 5> <5 4 3> <5 5 0>};
Nodes =  {<0 5 5> <1 3 3> <2 4 4> <3 4 8> <4 3 5> <5 0 5>};
