nLocation = 5;
AreaWidth = 10;
Horizen = 1440;
MaxAirTime = 90;
ChargingTime = 5;
VehicleLocation =  [1 2 3 4 5 0 0 0 0 0];
InitialMissionCompleteTime =  [71 6 72 18 19];
     <"on" 5 12 4 5 899 987>
     <"charge" 5 1200 4 5 988 993>
     <"on" 5 13 4 5 987 1075>
     <"charge" 5 1300 4 5 1076 1081>
     <"on" 5 14 4 5 1075 1163>
     <"charge" 5 1400 4 5 1164 1169>
     <"on" 5 15 4 5 1163 1251>
     <"charge" 5 1500 4 5 1252 1257>
     <"on" 5 16 4 5 1251 1339>
     <"charge" 5 1600 4 5 1340 1345>
     <"on" 5 17 4 5 1339 1427>
     <"charge" 5 1700 4 5 1428 1433>
     <"on" 5 18 4 5 1427 1440>};
Travel =  {<0 0 0> <0 1 3> <0 2 2> <0 3 6> <0 4 3> <0 5 1> <1 0 3>
     <1 1 0> <1 2 2> <1 3 8> <1 4 1> <1 5 4> <2 0 2>
     <2 1 2> <2 2 0> <2 3 6> <2 4 3> <2 5 3> <3 0 6>
     <3 1 8> <3 2 6> <3 3 0> <3 4 9> <3 5 5> <4 0 3>
     <4 1 1> <4 2 3> <4 3 9> <4 4 0> <4 5 4> <5 0 1>
     <5 1 4> <5 2 3> <5 3 5> <5 4 4> <5 5 0>};
Nodes =  {<0 5 5> <1 8 6> <2 6 7> <3 0 8> <4 8 5> <5 4 5>};
