
<<< setup

 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 838 variables, 1,184 constraints
 ! Presolve      : 349 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.03s (0.03s extraction + 0.01s propagation)
 !  . Log search space  : 243.2 (before), 243.2 (after)
 !  . Memory usage      : 4.1 MB (before), 4.1 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        640                 -
 + New bound is 0
 ! Using temporal relaxation.
 *             4      213  0.18s        1      (gap is 100.0%)
 ! Using failure-directed search.
               4      675          6    1         1 >= vUsed(5)
 + New bound is 1 (gap is 75.00%)
               4      875          6    1         1 >= vUsed(6)
 + New bound is 2 (gap is 50.00%)
               4    1,151        436    1   F         !presenceOf(itvJ2V#71#5)
 + New bound is 3 (gap is 25.00%)
               4   34,498        277    1   F         !presenceOf(itvJ2V#73#1)
 + New bound is 4 (gap is 0.00%)
 ! ----------------------------------------------------------------------------
 ! Search completed, 1 solution found.
 ! Best objective         : 4 (optimal - effective tol. is 0)
 ! Best bound             : 4
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 262,893
 ! Number of fails        : 153,713
 ! Total memory usage     : 69.5 MB (69.1 MB CP Optimizer + 0.4 MB Concert)
 ! Time spent in solve    : 5.38s (5.35s engine + 0.03s extraction)
 ! Search speed (br. / s) : 49,148.1
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
 ! Minimization problem - 199 variables, 1,043 constraints
 ! Presolve      : 349 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.01s (0.01s extraction + 0.00s propagation)
 !  . Log search space  : 145.0 (before), 145.0 (after)
 !  . Memory usage      : 4.2 MB (before), 4.2 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        199                 -
 + New bound is 30,000
 *        31,057      159  0.09s        1      (gap is 3.40%)
 *        30,938    1,167  0.09s        1      (gap is 3.03%)
 *        30,884    1,318  0.09s        1      (gap is 2.86%)
 *        30,875    1,356  0.09s        1      (gap is 2.83%)
 *        30,819    1,631  0.09s        1      (gap is 2.66%)
 *        30,797    1,725  0.09s        1      (gap is 2.59%)
 *        30,788    1,978  0.09s        1      (gap is 2.56%)
 *        30,750      998  0.09s        2      (gap is 2.44%)
 *        30,700    1,930  0.09s        3      (gap is 2.28%)
 *        30,687    2,189  0.09s        3      (gap is 2.24%)
 *        30,620    2,279  0.09s        5      (gap is 2.02%)
 *        30,566    2,106  0.09s        8      (gap is 1.85%)
 *        30,549    5,305  0.45s        2      (gap is 1.80%)
 *        30,490    7,058  0.45s        2      (gap is 1.61%)
 *        30,469    7,482  0.45s        2      (gap is 1.54%)
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 15 solutions found.
 ! Best objective         : 30,469 (gap is 1.54%)
 ! Best bound             : 30,000
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 8,232,468
 ! Number of fails        : 3,917,717
 ! Total memory usage     : 35.0 MB (34.7 MB CP Optimizer + 0.4 MB Concert)
 ! Time spent in solve    : 30.04s (30.03s engine + 0.01s extraction)
 ! Search speed (br. / s) : 274,159.7
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	charge	3	590	595
1	charge	3	700	705
1	charge	3	810	815
1	charge	3	920	925
1	charge	3	1030	1035
1	charge	3	1140	1145
1	charge	3	1250	1255
1	charge	3	1360	1365
1	charge	4	92	97
1	charge	4	232	237
1	charge	4	372	377
1	charge	4	512	517
1	return	0	1400	1400
1	start	0	0	0
2	charge	2	543	548
2	charge	2	1431	1436
2	charge	3	150	155
2	charge	3	260	265
2	charge	3	370	375
2	charge	3	480	485
2	charge	4	652	657
2	charge	4	792	797
2	charge	4	932	937
2	charge	4	1072	1077
2	charge	4	1212	1217
2	charge	4	1352	1357
2	start	0	0	0
2	return	0	1452	1452
3	charge	1	167	172
3	charge	1	293	298
3	charge	1	419	424
3	charge	1	545	550
3	charge	1	671	676
3	charge	1	797	802
3	charge	1	923	928
3	charge	1	1049	1054
3	charge	1	1175	1180
3	charge	1	1301	1306
3	charge	1	1427	1432
3	charge	2	99	104
3	charge	2	247	252
3	charge	2	395	400
3	charge	2	691	696
3	charge	2	839	844
3	charge	2	987	992
3	charge	2	1135	1140
3	charge	2	1283	1288
3	return	0	1459	1459
3	start	0	0	0
Version identifier: 20.1.0.0 | 2020-11-10 | 9bedb6d68
CPXPARAM_TimeLimit                               30
CPXPARAM_MIP_Tolerances_AbsMIPGap                0.050000000000000003
CPXPARAM_MIP_Tolerances_MIPGap                   0.050000000000000003
Tried aggregator 1 time.
MIP Presolve eliminated 7580 rows and 4128 columns.
MIP Presolve modified 1360 coefficients.
Reduced MIP has 915 rows, 4152 columns, and 13128 nonzeros.
Reduced MIP has 4144 binaries, 8 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.02 sec. (12.08 ticks)
Probing fixed 44 vars, tightened 0 bounds.
Probing time = 0.03 sec. (18.68 ticks)
Cover probing fixed 0 vars, tightened 8 bounds.
Tried aggregator 1 time.
Detecting symmetries...
MIP Presolve eliminated 56 rows and 44 columns.
MIP Presolve modified 984 coefficients.
Reduced MIP has 859 rows, 4108 columns, and 12956 nonzeros.
Reduced MIP has 4100 binaries, 8 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.00 sec. (10.25 ticks)
Probing time = 0.02 sec. (5.46 ticks)
Clique table members: 8659.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 16 threads.
Root relaxation solution time = 0.03 sec. (39.01 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

      0     0    30469.0000   168                  30469.0000      788         
*     0+    0                        30469.0000    30469.0000             0.00%
      0     0        cutoff          30469.0000    30469.0000      788    0.00%
Elapsed time = 0.19 sec. (182.67 ticks, tree = 0.01 MB, solutions = 1)

Root node processing (before b&c):
  Real time             =    0.19 sec. (182.97 ticks)
Parallel b&c, 16 threads:
  Real time             =    0.00 sec. (0.00 ticks)
  Sync time (average)   =    0.00 sec.
  Wait time (average)   =    0.00 sec.
                          ------------
Total (root+branch&cut) =    0.19 sec. (182.97 ticks)
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 1,168 variables, 1,659 constraints
 ! Presolve      : 845 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.04s (0.04s extraction + 0.00s propagation)
 !  . Log search space  : 304.5 (before), 304.5 (after)
 !  . Memory usage      : 5.8 MB (before), 5.8 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        897                 -
 + New bound is 0
 ! Using temporal relaxation.
 *             5      247  0.21s        1      (gap is 100.0%)
 *             4      587  0.21s        1      (gap is 100.0%)
 ! Using failure-directed search.
               4    1,243        613    1         1 >= vUsed(6)
 + New bound is 1 (gap is 75.00%)
               4    1,605        519    1         1 >= vUsed(7)
 + New bound is 2 (gap is 50.00%)
               4    1,847        215    1   F         !presenceOf(itvJ2V#87#6)
 + New bound is 3 (gap is 25.00%)
               4   71,617        308    1   F         !presenceOf(itvJ2V#47#7)
 + New bound is 4 (gap is 0.00%)
 ! ----------------------------------------------------------------------------
 ! Search completed, 2 solutions found.
 ! Best objective         : 4 (optimal - effective tol. is 0)
 ! Best bound             : 4
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 284,300
 ! Number of fails        : 205,583
 ! Total memory usage     : 92.8 MB (91.9 MB CP Optimizer + 0.8 MB Concert)
 ! Time spent in solve    : 14.93s (14.90s engine + 0.04s extraction)
 ! Search speed (br. / s) : 19,089.5
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	mission	1	0	128
7	mission	1	128	262
4	mission	1	262	396
7	mission	1	396	530
1	mission	1	530	664
5	mission	1	664	798
1	mission	1	798	932
4	mission	1	932	1066
2	mission	1	1066	1200
8	mission	1	1200	1334
1	mission	1	1334	1440
2	mission	2	0	124
8	mission	2	124	246
2	mission	2	246	368
6	mission	2	368	490
2	mission	2	490	612
7	mission	2	612	734
9	mission	2	734	856
3	mission	2	856	978
8	mission	2	978	1100
3	mission	2	1100	1222
7	mission	2	1222	1344
3	mission	2	1344	1440
3	mission	3	0	93
9	mission	3	93	239
5	mission	3	239	385
8	mission	3	385	531
9	mission	3	531	677
4	mission	3	677	823
2	mission	3	823	969
6	mission	3	969	1115
1	mission	3	1115	1261
2	mission	3	1261	1407
7	mission	3	1407	1440
4	mission	4	0	146
3	mission	4	146	300
1	mission	4	300	454
4	mission	4	454	608
3	mission	4	608	762
8	mission	4	762	916
9	mission	4	916	1070
5	mission	4	1070	1224
9	mission	4	1224	1378
4	mission	4	1378	1440
5	mission	5	0	130
6	mission	5	130	278
9	mission	5	278	426
5	mission	5	426	574
8	mission	5	574	722
6	mission	5	722	870
5	mission	5	870	1018
7	mission	5	1018	1166
6	mission	5	1166	1314
5	mission	5	1314	1440
1	charge	0	151	156
7	charge	0	285	290
4	charge	0	419	424
7	charge	0	553	558
1	charge	0	687	692
5	charge	0	821	826
1	charge	0	955	960
4	charge	0	1089	1094
2	charge	0	1223	1228
8	charge	0	1357	1362
2	charge	0	153	158
8	charge	0	275	280
2	charge	0	397	402
6	charge	0	519	524
2	charge	0	641	646
7	charge	0	763	768
9	charge	0	885	890
3	charge	0	1007	1012
8	charge	0	1129	1134
3	charge	0	1251	1256
7	charge	0	1373	1378
3	charge	0	110	115
9	charge	0	256	261
5	charge	0	402	407
8	charge	0	548	553
9	charge	0	694	699
4	charge	0	840	845
2	charge	0	986	991
6	charge	0	1132	1137
1	charge	0	1278	1283
2	charge	0	1424	1429
4	charge	0	159	164
3	charge	0	313	318
1	charge	0	467	472
4	charge	0	621	626
3	charge	0	775	780
8	charge	0	929	934
9	charge	0	1083	1088
5	charge	0	1237	1242
9	charge	0	1391	1396
5	charge	0	146	151
6	charge	0	294	299
9	charge	0	442	447
5	charge	0	590	595
8	charge	0	738	743
6	charge	0	886	891
5	charge	0	1034	1039
7	charge	0	1182	1187
6	charge	0	1330	1335
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 289 variables, 1,564 constraints
 ! Presolve      : 845 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.01s (0.01s extraction + 0.00s propagation)
 !  . Log search space  : 207.3 (before), 207.3 (after)
 !  . Memory usage      : 5.7 MB (before), 5.7 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        289                 -
 + New bound is 40,000
 *        41,012      259  0.11s        1      (gap is 2.47%)
 *        41,008      697  0.11s        1      (gap is 2.46%)
 *        40,958    1,027  0.11s        1      (gap is 2.34%)
 *        40,934    1,294  0.11s        1      (gap is 2.28%)
 *        40,906    1,721  0.11s        1      (gap is 2.21%)
 *        40,891    1,771  0.11s        1      (gap is 2.18%)
 *        40,873    1,879  0.11s        1      (gap is 2.14%)
 *        40,869    2,575  0.11s        2      (gap is 2.13%)
 *        40,865    3,052  0.11s        2      (gap is 2.12%)
 *        40,784      882  0.11s        3      (gap is 1.92%)
 *        40,700    1,856  0.11s        3      (gap is 1.72%)
 *        40,629    1,987  0.11s        3      (gap is 1.55%)
 *        40,590    2,425  0.11s        3      (gap is 1.45%)
 *        40,582    1,999  0.11s        4      (gap is 1.43%)
 *        40,541    2,118  0.11s        4      (gap is 1.33%)
 *        40,516   10,010  0.50s        1      (gap is 1.27%)
 *        40,430   10,553  0.50s        1      (gap is 1.06%)
 *        40,422   10,737  0.50s        1      (gap is 1.04%)
 *        40,309   11,174  0.50s        1      (gap is 0.77%)
 ! Time = 0.50s, Average fail depth = 14, Memory usage = 47.4 MB
 ! Current bound is 40,000 (gap is 0.77%)
 !          Best Branches  Non-fixed    W       Branch decision
 *        40,278    9,537  0.50s        4      (gap is 0.69%)
 *        40,272   13,518  0.65s        4      (gap is 0.68%)
 *        40,270   19,798  0.96s        1      (gap is 0.67%)
 *        40,263   23,745  1.21s       11      (gap is 0.65%)
 *        40,261   24,196  1.21s       11      (gap is 0.65%)
 *        40,260   25,464  1.21s        1      (gap is 0.65%)
 *        40,258   26,320  1.39s       11      (gap is 0.64%)
 *        40,256   26,415  1.39s       11      (gap is 0.64%)
 *        40,246   28,053  1.39s        2      (gap is 0.61%)
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 28 solutions found.
 ! Best objective         : 40,246 (gap is 0.61%)
 ! Best bound             : 40,000
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 7,868,773
 ! Number of fails        : 3,731,763
 ! Total memory usage     : 47.9 MB (47.1 MB CP Optimizer + 0.8 MB Concert)
 ! Time spent in solve    : 30.06s (30.05s engine + 0.01s extraction)
 ! Search speed (br. / s) : 261,899.6
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	charge	2	153	158
1	charge	2	275	280
1	charge	2	397	402
1	charge	2	519	524
1	charge	2	641	646
1	charge	2	763	768
1	charge	2	885	890
1	charge	2	1007	1012
1	charge	2	1129	1134
1	charge	2	1251	1256
1	charge	2	1373	1378
1	charge	3	110	115
1	charge	3	1424	1429
1	start	0	0	0
1	return	0	1446	1446
2	charge	1	151	156
2	charge	1	285	290
2	charge	1	419	424
2	charge	1	553	558
2	charge	1	687	692
2	charge	1	821	826
2	charge	1	955	960
2	charge	1	1089	1094
2	charge	1	1223	1228
2	charge	1	1357	1362
2	return	0	1385	1385
2	start	0	0	0
3	charge	3	256	261
3	charge	3	402	407
3	charge	3	548	553
3	charge	3	694	699
3	charge	3	840	845
3	charge	3	986	991
3	charge	3	1132	1137
3	charge	3	1278	1283
3	charge	4	159	164
3	charge	4	313	318
3	charge	4	467	472
3	charge	4	621	626
3	charge	4	775	780
3	charge	4	929	934
3	charge	4	1083	1088
3	charge	4	1237	1242
3	charge	4	1391	1396
3	start	0	0	0
3	return	0	1409	1409
4	charge	5	146	151
4	charge	5	294	299
4	charge	5	442	447
4	charge	5	590	595
4	charge	5	738	743
4	charge	5	886	891
4	charge	5	1034	1039
4	charge	5	1182	1187
4	charge	5	1330	1335
4	return	0	1351	1351
4	start	0	0	0
Version identifier: 20.1.0.0 | 2020-11-10 | 9bedb6d68
CPXPARAM_TimeLimit                               30
CPXPARAM_MIP_Tolerances_AbsMIPGap                0.050000000000000003
CPXPARAM_MIP_Tolerances_MIPGap                   0.050000000000000003
Tried aggregator 1 time.
MIP Presolve eliminated 12265 rows and 6575 columns.
MIP Presolve modified 1940 coefficients.
Reduced MIP has 1289 rows, 6685 columns, and 21015 nonzeros.
Reduced MIP has 6675 binaries, 10 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.02 sec. (19.08 ticks)
Probing fixed 71 vars, tightened 0 bounds.
Probing time = 0.06 sec. (38.53 ticks)
Cover probing fixed 0 vars, tightened 6 bounds.
Tried aggregator 1 time.
Detecting symmetries...
MIP Presolve eliminated 85 rows and 71 columns.
MIP Presolve modified 1388 coefficients.
Reduced MIP has 1204 rows, 6614 columns, and 20749 nonzeros.
Reduced MIP has 6604 binaries, 10 generals, 0 SOSs, and 0 indicators.
Presolve time = 0.02 sec. (15.22 ticks)
Probing time = 0.02 sec. (6.60 ticks)
Clique table members: 13863.
MIP emphasis: balance optimality and feasibility.
MIP search method: dynamic search.
Parallel mode: deterministic, using up to 16 threads.
Root relaxation solution time = 0.08 sec. (87.87 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap

      0     0    40246.0000   256                  40246.0000     1222         
*     0+    0                        40246.0000    40246.0000             0.00%
      0     0        cutoff          40246.0000    40246.0000     1222    0.00%
Elapsed time = 0.28 sec. (298.76 ticks, tree = 0.01 MB, solutions = 1)

Root node processing (before b&c):
  Real time             =    0.28 sec. (299.23 ticks)
Parallel b&c, 16 threads:
  Real time             =    0.00 sec. (0.00 ticks)
  Sync time (average)   =    0.00 sec.
  Wait time (average)   =    0.00 sec.
                          ------------
Total (root+branch&cut) =    0.28 sec. (299.23 ticks)
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 1,602 variables, 2,286 constraints
 ! Presolve      : 1,536 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.05s (0.05s extraction + 0.00s propagation)
 !  . Log search space  : 384.3 (before), 384.3 (after)
 !  . Memory usage      : 6.0 MB (before), 6.0 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0      1,256                 -
 + New bound is 0
 ! Using temporal relaxation.
 *             6      289  0.26s        1      (gap is 100.0%)
 *             5      732  0.26s        1      (gap is 100.0%)
 ! Using failure-directed search.
               5    2,036        798    1         1 >= vUsed(7)
 + New bound is 1 (gap is 80.00%)
               5    2,289        710    1         1 >= vUsed(8)
 + New bound is 2 (gap is 60.00%)
               5    8,709        341    1   F         !presenceOf(itvJ2V#84#2)
 + New bound is 4 (gap is 20.00%)
 ! ----------------------------------------------------------------------------
 ! Search terminated by limit, 2 solutions found.
 ! Best objective         : 5 (gap is 20.00%)
 ! Best bound             : 4
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 1,143,742
 ! Number of fails        : 559,666
 ! Total memory usage     : 127.3 MB (125.9 MB CP Optimizer + 1.3 MB Concert)
 ! Time spent in solve    : 30.05s (30.00s engine + 0.05s extraction)
 ! Search speed (br. / s) : 38,127.3
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	mission	1	0	138
7	mission	1	138	260
1	mission	1	260	382
2	mission	1	382	504
9	mission	1	504	626
11	mission	1	626	748
8	mission	1	748	870
5	mission	1	870	992
9	mission	1	992	1114
1	mission	1	1114	1236
3	mission	1	1236	1358
8	mission	1	1358	1440
2	mission	2	0	34
11	mission	2	34	202
9	mission	2	202	370
6	mission	2	370	538
7	mission	2	538	706
4	mission	2	706	874
10	mission	2	874	1042
7	mission	2	1042	1210
6	mission	2	1210	1378
11	mission	2	1378	1440
3	mission	3	0	106
10	mission	3	106	270
5	mission	3	270	434
8	mission	3	434	598
2	mission	3	598	762
1	mission	3	762	926
2	mission	3	926	1090
8	mission	3	1090	1254
7	mission	3	1254	1418
4	mission	3	1418	1440
4	mission	4	0	37
8	mission	4	37	179
4	mission	4	179	321
7	mission	4	321	463
3	mission	4	463	605
10	mission	4	605	747
9	mission	4	747	889
11	mission	4	889	1031
3	mission	4	1031	1173
11	mission	4	1173	1315
2	mission	4	1315	1440
5	mission	5	0	150
2	mission	5	150	306
11	mission	5	306	462
1	mission	5	462	618
6	mission	5	618	774
3	mission	5	774	930
6	mission	5	930	1086
5	mission	5	1086	1242
9	mission	5	1242	1398
5	mission	5	1398	1440
6	mission	6	0	143
3	mission	6	143	297
10	mission	6	297	451
4	mission	6	451	605
5	mission	6	605	759
7	mission	6	759	913
4	mission	6	913	1067
10	mission	6	1067	1221
4	mission	6	1221	1375
1	mission	6	1375	1440
1	charge	0	167	172
7	charge	0	289	294
1	charge	0	411	416
2	charge	0	533	538
9	charge	0	655	660
11	charge	0	777	782
8	charge	0	899	904
5	charge	0	1021	1026
9	charge	0	1143	1148
1	charge	0	1265	1270
3	charge	0	1387	1392
2	charge	0	40	45
11	charge	0	208	213
9	charge	0	376	381
6	charge	0	544	549
7	charge	0	712	717
4	charge	0	880	885
10	charge	0	1048	1053
7	charge	0	1216	1221
6	charge	0	1384	1389
3	charge	0	114	119
10	charge	0	278	283
5	charge	0	442	447
8	charge	0	606	611
2	charge	0	770	775
1	charge	0	934	939
2	charge	0	1098	1103
8	charge	0	1262	1267
7	charge	0	1426	1431
4	charge	0	56	61
8	charge	0	198	203
4	charge	0	340	345
7	charge	0	482	487
3	charge	0	624	629
10	charge	0	766	771
9	charge	0	908	913
11	charge	0	1050	1055
3	charge	0	1192	1197
11	charge	0	1334	1339
5	charge	0	162	167
2	charge	0	318	323
11	charge	0	474	479
1	charge	0	630	635
6	charge	0	786	791
3	charge	0	942	947
6	charge	0	1098	1103
5	charge	0	1254	1259
9	charge	0	1410	1415
6	charge	0	156	161
3	charge	0	310	315
10	charge	0	464	469
4	charge	0	618	623
5	charge	0	772	777
7	charge	0	926	931
4	charge	0	1080	1085
10	charge	0	1234	1239
4	charge	0	1388	1393
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 329 variables, 1,780 constraints
 ! Presolve      : 1,536 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.01s (0.01s extraction + 0.00s propagation)
 !  . Log search space  : 226.4 (before), 226.4 (after)
 !  . Memory usage      : 6.8 MB (before), 6.8 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        329                 -
 + New bound is 40,000
 *        41,206      284  0.11s        1      (gap is 2.93%)
 *        41,100      430  0.11s        1      (gap is 2.68%)
 *        41,057    2,199  0.11s        1      (gap is 2.57%)
 *        40,977    2,239  0.11s        1      (gap is 2.38%)
 *        40,950    1,315  0.11s        2      (gap is 2.32%)
 *        40,939    1,761  0.11s        6      (gap is 2.29%)
 *        40,904    1,944  0.11s        6      (gap is 2.21%)
 *        40,895    2,405  0.11s        8      (gap is 2.19%)
 *        40,888    2,551  0.11s        8      (gap is 2.17%)
 *        40,846    2,221  0.11s       11      (gap is 2.07%)
 *        40,833    5,272  0.53s        1      (gap is 2.04%)
 *        40,829    5,606  0.53s        1      (gap is 2.03%)
 *        40,824    5,830  0.53s        1      (gap is 2.02%)
 *        40,822    6,147  0.53s        1      (gap is 2.01%)
 *        40,733    8,822  0.53s        1      (gap is 1.80%)
 *        40,715    9,066  0.53s        1      (gap is 1.76%)
 *        40,654    9,988  0.53s        1      (gap is 1.61%)
 *        40,648   10,904  0.53s        1      (gap is 1.59%)
 *        40,627   11,059  0.53s        1      (gap is 1.54%)
 ! Time = 0.53s, Average fail depth = 14, Memory usage = 56.3 MB
 ! Current bound is 40,000 (gap is 1.54%)
 !          Best Branches  Non-fixed    W       Branch decision
 *        40,623   11,277  0.53s        1      (gap is 1.53%)
 *        40,621   11,907  0.53s        1      (gap is 1.53%)
 *        40,618    6,964  0.53s        2      (gap is 1.52%)
 *        40,616    7,465  0.53s        2      (gap is 1.52%)
 *        40,592    7,713  0.53s        2      (gap is 1.46%)
 *        40,586    8,277  0.53s        2      (gap is 1.44%)
 *        40,575    9,960  0.53s        2      (gap is 1.42%)
 *        40,561   11,893  0.53s        3      (gap is 1.38%)
 *        40,553   12,466  0.53s        3      (gap is 1.36%)
 *        40,549    9,524  0.53s        5      (gap is 1.35%)
 *        40,539   11,538  0.53s        5      (gap is 1.33%)
 *        40,537   13,186  0.62s        2      (gap is 1.32%)
 *        40,524   13,652  0.62s        2      (gap is 1.29%)
